timestamp,import_kW,export_kW,power_diff_kW,pid_power_kW,L1_kW,L2_kW,L3_kW
2025-10-13 12:22:26,0.134,0.345,-0.211,-0.222,0.131,0.000,0.000
2025-10-13 12:22:27,0.132,0.462,-0.330,-0.383,0.131,0.000,0.000
2025-10-13 12:22:28,0.377,0.346,0.031,-0.065,0.374,0.000,0.000
2025-10-13 12:22:29,0.549,0.348,0.201,0.106,0.547,0.000,0.000
2025-10-13 12:22:31,0.211,0.464,-0.253,-0.341,0.210,0.000,0.000
2025-10-13 12:22:32,0.034,0.346,-0.312,-0.441,0.033,0.000,0.000
2025-10-13 12:22:33,0.521,0.463,0.058,-0.113,0.505,0.000,0.000
2025-10-13 12:22:35,0.615,0.462,0.153,-0.015,0.617,0.000,0.000
2025-10-13 12:22:36,0.250,0.464,-0.214,-0.115,0.199,0.000,0.000
2025-10-13 12:22:37,0.152,0.344,-0.192,-0.431,0.149,0.000,0.000
2025-10-13 12:22:38,0.259,0.464,-0.205,-0.488,0.261,0.000,0.000
2025-10-13 12:22:39,0.609,0.463,0.146,-0.159,0.608,0.000,0.000
2025-10-13 12:22:40,0.669,0.342,0.327,0.050,0.668,0.000,0.000
2025-10-13 12:22:42,0.301,0.464,-0.163,-0.201,0.299,0.000,0.000
2025-10-13 12:22:43,0.099,0.346,-0.247,-0.511,0.097,0.000,0.000
2025-10-13 12:22:46,0.700,0.346,0.354,0.135,0.709,0.000,0.000
2025-10-13 12:22:47,0.699,0.464,0.235,0.081,0.696,0.000,0.000
2025-10-13 12:22:48,0.003,0.463,-0.460,-0.324,0.002,0.000,0.000
2025-10-13 12:22:49,0.059,0.345,-0.286,-0.489,0.057,0.000,0.000
2025-10-13 12:22:50,0.491,0.458,0.033,-0.220,0.490,0.000,0.000
2025-10-13 12:22:51,0.676,0.343,0.333,0.093,0.671,0.000,0.000
2025-10-13 12:22:53,0.358,0.458,-0.100,-0.309,0.342,0.000,0.000
2025-10-13 12:22:54,0.053,0.346,-0.293,-0.518,0.046,0.000,0.000
2025-10-13 12:22:55,0.471,0.343,0.128,-0.125,0.471,0.000,0.000
2025-10-13 12:22:56,0.699,0.464,0.235,-0.001,0.696,0.000,0.000
2025-10-13 12:22:57,0.265,0.465,-0.200,-0.101,0.263,0.000,0.000
2025-10-13 12:22:58,0.137,0.345,-0.208,-0.450,0.131,0.000,0.000
2025-10-13 12:22:59,0.244,0.462,-0.218,-0.506,0.248,0.000,0.000
2025-10-13 12:23:00,0.633,0.348,0.285,-0.018,0.625,0.000,0.000
2025-10-13 12:23:01,0.681,0.462,0.219,-0.048,0.679,0.000,0.000
2025-10-13 12:23:03,0.149,0.344,-0.195,-0.148,0.152,0.000,0.000
2025-10-13 12:23:04,0.196,0.342,-0.146,-0.409,0.195,0.000,0.000
2025-10-13 12:23:05,0.297,0.344,-0.047,-0.338,0.296,0.000,0.000
2025-10-13 12:23:06,0.584,0.463,0.121,-0.174,0.582,0.000,0.000
2025-10-13 12:23:07,0.502,0.342,0.160,-0.113,0.501,0.000,0.000
2025-10-13 12:23:08,0.319,0.464,-0.145,-0.404,0.318,0.000,0.000
2025-10-13 12:23:09,0.255,0.348,-0.093,-0.366,0.255,0.000,0.000
2025-10-13 12:23:10,0.579,0.463,0.116,-0.166,0.580,0.000,0.000
2025-10-13 12:23:11,0.538,0.465,0.073,-0.196,0.536,0.000,0.000
2025-10-13 12:23:12,0.309,0.346,-0.037,-0.295,0.308,0.000,0.000
2025-10-13 12:23:14,0.343,0.464,-0.121,-0.388,0.341,0.000,0.000
2025-10-13 12:23:15,0.448,0.345,0.103,-0.171,0.446,0.000,0.000
2025-10-13 12:23:16,0.555,0.344,0.211,-0.043,0.546,0.000,0.000
2025-10-13 12:23:17,0.320,0.462,-0.142,-0.143,0.319,0.000,0.000
2025-10-13 12:23:18,0.181,0.462,-0.281,-0.542,0.179,0.000,0.000
2025-10-13 12:23:19,0.290,0.348,-0.058,-0.360,0.289,0.000,0.000
2025-10-13 12:23:20,0.731,0.464,0.267,-0.036,0.730,0.000,0.000
2025-10-13 12:23:21,2.456,0.344,2.112,0.064,2.454,0.000,0.000
2025-10-13 12:23:22,2.107,0.465,1.642,0.381,2.106,0.000,0.000
2025-10-13 12:23:23,2.015,0.344,1.671,0.900,2.013,0.000,0.000
2025-10-13 12:23:25,1.875,0.462,1.413,0.854,1.867,0.000,0.000
2025-10-13 12:23:26,1.712,0.346,1.366,0.900,1.698,0.000,0.000
2025-10-13 12:23:27,1.580,0.344,1.236,0.718,1.579,0.000,0.000
2025-10-13 12:23:28,1.487,0.463,1.024,0.770,1.488,0.000,0.000
2025-10-13 12:23:29,1.488,0.346,1.142,0.900,1.480,0.000,0.000
2025-10-13 12:23:30,1.458,0.464,0.994,0.749,1.464,0.000,0.000
2025-10-13 12:23:31,1.409,0.345,1.064,0.900,1.403,0.000,0.000
2025-10-13 12:23:32,1.472,0.464,1.008,0.764,1.470,0.000,0.000
2025-10-13 12:23:33,1.403,0.461,0.942,0.900,1.402,0.000,0.000
2025-10-13 12:23:34,1.458,0.345,1.113,0.858,1.457,0.000,0.000
2025-10-13 12:23:36,1.418,0.466,0.952,0.900,1.416,0.000,0.000
2025-10-13 12:23:37,1.423,0.463,0.960,0.729,1.425,0.000,0.000
